survey,survey_n,survey_start_date,survey_end_date,survey_dates,model_sedimentation_class,tail_contrast,upper_tail_excess_cm,monitoring_gap_days,plot_segment
Con1,1,2025-11-06,2025-11-06,2025-11-06,1.0 cm predicted (dashed red),75th minus |25th|,-1.5000000000000002,NA,0
Con2,2,2025-11-17,2025-11-17,2025-11-17,1.0 cm predicted (dashed red),75th minus |25th|,-1.3750000000000002,11,0
Con3,3,2025-11-26,2025-11-26,2025-11-26,1.0 cm predicted (dashed red),75th minus |25th|,-1.5,9,0
Con4,4,2025-12-05,2025-12-05,2025-12-05,1.0 cm predicted (dashed red),75th minus |25th|,-1.1666666666666665,9,0
Con5,5,2025-12-14,2025-12-14,2025-12-14,1.0 cm predicted (dashed red),75th minus |25th|,-1.6666666666666667,9,0
Con6,6,2025-12-29,2025-12-29,2025-12-29,1.0 cm predicted (dashed red),75th minus |25th|,-1.1249999999999998,15,1
Con7,7,2026-01-07,2026-01-07,2026-01-07,1.0 cm predicted (dashed red),75th minus |25th|,-0.7083333333333336,9,1
Con8,8,2026-01-15,2026-01-17,"2026-01-15, 2026-01-17",1.0 cm predicted (dashed red),75th minus |25th|,-0.45833333333333337,8,1
Con9,9,2026-01-24,2026-01-24,2026-01-24,1.0 cm predicted (dashed red),75th minus |25th|,-0.04166666666666696,9,1
Con10,10,2026-02-05,2026-02-05,2026-02-05,1.0 cm predicted (dashed red),75th minus |25th|,0.125,12,1
Con11,11,2026-02-12,2026-02-12,2026-02-12,1.0 cm predicted (dashed red),75th minus |25th|,0.33333333333333304,7,1
Con12,12,2026-02-20,2026-02-20,2026-02-20,1.0 cm predicted (dashed red),75th minus |25th|,-0.833333333333333,8,1
Con20,20,2026-03-10,2026-03-10,2026-03-10,1.0 cm predicted (dashed red),75th minus |25th|,-1.1666666666666665,18,2
Con22,22,2026-03-24,2026-03-24,2026-03-24,1.0 cm predicted (dashed red),75th minus |25th|,-1.0416666666666665,14,2
Con24,24,2026-04-07,2026-04-07,2026-04-07,1.0 cm predicted (dashed red),75th minus |25th|,-1.2916666666666667,14,2
Con25,25,2026-04-16,2026-04-17,"2026-04-16, 2026-04-17",1.0 cm predicted (dashed red),75th minus |25th|,-1.3333333333333333,9,2
Con1,1,2025-11-06,2025-11-06,2025-11-06,1.0 cm predicted (dashed red),90th minus |10th|,-1.8333333333333335,NA,0
Con2,2,2025-11-17,2025-11-17,2025-11-17,1.0 cm predicted (dashed red),90th minus |10th|,-2.3166666666666664,11,0
Con3,3,2025-11-26,2025-11-26,2025-11-26,1.0 cm predicted (dashed red),90th minus |10th|,-1.8166666666666655,9,0
Con4,4,2025-12-05,2025-12-05,2025-12-05,1.0 cm predicted (dashed red),90th minus |10th|,-1.1666666666666652,9,0
Con5,5,2025-12-14,2025-12-14,2025-12-14,1.0 cm predicted (dashed red),90th minus |10th|,-2.333333333333333,9,0
Con6,6,2025-12-29,2025-12-29,2025-12-29,1.0 cm predicted (dashed red),90th minus |10th|,-0.6666666666666654,15,1
Con7,7,2026-01-07,2026-01-07,2026-01-07,1.0 cm predicted (dashed red),90th minus |10th|,-0.983333333333333,9,1
Con8,8,2026-01-15,2026-01-17,"2026-01-15, 2026-01-17",1.0 cm predicted (dashed red),90th minus |10th|,0.16666666666666785,8,1
Con9,9,2026-01-24,2026-01-24,2026-01-24,1.0 cm predicted (dashed red),90th minus |10th|,-0.833333333333333,9,1
Con10,10,2026-02-05,2026-02-05,2026-02-05,1.0 cm predicted (dashed red),90th minus |10th|,-0.01666666666666572,12,1
Con11,11,2026-02-12,2026-02-12,2026-02-12,1.0 cm predicted (dashed red),90th minus |10th|,0.01666666666666683,7,1
Con12,12,2026-02-20,2026-02-20,2026-02-20,1.0 cm predicted (dashed red),90th minus |10th|,-1.0000000000000002,8,1
Con20,20,2026-03-10,2026-03-10,2026-03-10,1.0 cm predicted (dashed red),90th minus |10th|,-1.6666666666666652,18,2
Con22,22,2026-03-24,2026-03-24,2026-03-24,1.0 cm predicted (dashed red),90th minus |10th|,-1.349999999999999,14,2
Con24,24,2026-04-07,2026-04-07,2026-04-07,1.0 cm predicted (dashed red),90th minus |10th|,-1.4999999999999993,14,2
Con25,25,2026-04-16,2026-04-17,"2026-04-16, 2026-04-17",1.0 cm predicted (dashed red),90th minus |10th|,-1.6666666666666652,9,2
Con1,1,2025-11-06,2025-11-06,2025-11-06,1.0 cm predicted (dashed red),99th minus |1st|,-1.6650000000000067,NA,0
Con2,2,2025-11-17,2025-11-17,2025-11-17,1.0 cm predicted (dashed red),99th minus |1st|,-3.1600000000000006,11,0
Con3,3,2025-11-26,2025-11-26,2025-11-26,1.0 cm predicted (dashed red),99th minus |1st|,-1.9966666666666697,9,0
Con4,4,2025-12-05,2025-12-05,2025-12-05,1.0 cm predicted (dashed red),99th minus |1st|,-2.8166666666666695,9,0
Con5,5,2025-12-14,2025-12-14,2025-12-14,1.0 cm predicted (dashed red),99th minus |1st|,-3.916666666666667,9,0
Con6,6,2025-12-29,2025-12-29,2025-12-29,1.0 cm predicted (dashed red),99th minus |1st|,-2.6483333333333348,15,1
Con7,7,2026-01-07,2026-01-07,2026-01-07,1.0 cm predicted (dashed red),99th minus |1st|,-0.5000000000000004,9,1
Con8,8,2026-01-15,2026-01-17,"2026-01-15, 2026-01-17",1.0 cm predicted (dashed red),99th minus |1st|,-2.163333333333335,8,1
Con9,9,2026-01-24,2026-01-24,2026-01-24,1.0 cm predicted (dashed red),99th minus |1st|,0.49666666666665993,9,1
Con10,10,2026-02-05,2026-02-05,2026-02-05,1.0 cm predicted (dashed red),99th minus |1st|,-0.8400000000000043,12,1
Con11,11,2026-02-12,2026-02-12,2026-02-12,1.0 cm predicted (dashed red),99th minus |1st|,-2.8283333333333345,7,1
Con12,12,2026-02-20,2026-02-20,2026-02-20,1.0 cm predicted (dashed red),99th minus |1st|,-1.8300000000000005,8,1
Con20,20,2026-03-10,2026-03-10,2026-03-10,1.0 cm predicted (dashed red),99th minus |1st|,-1.661666666666668,18,2
Con22,22,2026-03-24,2026-03-24,2026-03-24,1.0 cm predicted (dashed red),99th minus |1st|,-3.6550000000000002,14,2
Con24,24,2026-04-07,2026-04-07,2026-04-07,1.0 cm predicted (dashed red),99th minus |1st|,-2.1683333333333406,14,2
Con25,25,2026-04-16,2026-04-17,"2026-04-16, 2026-04-17",1.0 cm predicted (dashed red),99th minus |1st|,-1.5050000000000034,9,2
Con1,1,2025-11-06,2025-11-06,2025-11-06,1.5 mm predicted (solid red),75th minus |25th|,-0.3333333333333333,NA,0
Con2,2,2025-11-17,2025-11-17,2025-11-17,1.5 mm predicted (solid red),75th minus |25th|,0.3333333333333333,11,0
Con3,3,2025-11-26,2025-11-26,2025-11-26,1.5 mm predicted (solid red),75th minus |25th|,-0.12499999999999989,9,0
